id,name,icon,atlas,icon_big,prefabnew,sprites,prefab,furniture_type_icon,des,iconitem_id,type_1,type_2,placement_num,cost_times,show_lv,unlock_lv,is_show,cost_type,cost_num,length,width,height,luxury,energy,buff_ids
14028,南瓜灯,icon_shiwai_14028,FurnitureIcon_01_atlas,icon_shiwai_14028,wugua_lev01,,,,,,10,0,-1,1,11,14,1,2,1200,,1,2,260,,
14029,稻草人,icon_shiwai_14029,FurnitureIcon_01_atlas,icon_shiwai_14029,daocaoren_lev01,,,,,,10,0,-1,1,11,14,1,2,1200,,1,1,200,,
14030,吊床,icon_shiwai_14030,FurnitureIcon_01_atlas,icon_shiwai_14030,diaochuang_lev01,,,,,,10,0,-1,1,27,30,1,2,1000,,2,1,355,,
14031,自动贩卖机,icon_shiwai_14031,FurnitureIcon_01_atlas,icon_shiwai_14031,fmj_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,2,1,1200,,
14032,改装战车,icon_shiwai_14032,FurnitureIcon_01_atlas,icon_shiwai_14032,zhanche_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,3,2,1200,,
14033,破旧的水塔,icon_shiwai_14033,FurnitureIcon_01_atlas,icon_shiwai_14033,shuita_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,2,2,1000,,
14034,瞭望塔,icon_shiwai_14034,FurnitureIcon_01_atlas,icon_shiwai_14034,lwt_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,3,3,400,,
14035,圣诞雪橇车,icon_shiwai_14035,FurnitureIcon_01_atlas,icon_shiwai_14035,sdxq_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,2,2,1200,,
14036,圣诞雪人,icon_shiwai_14036,FurnitureIcon_01_atlas,icon_shiwai_14036,sdxr_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,1,1,500,,
14037,驯鹿冰雕,icon_shiwai_14037,FurnitureIcon_01_atlas,icon_shiwai_14037,bingdiao_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,2,1,355,,
14038,破旧滑梯,icon_shiwai_14038,FurnitureIcon_01_atlas,icon_shiwai_14038,huati_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,2,2,355,,
14039,蹦床,icon_shiwai_14039,FurnitureIcon_01_atlas,icon_shiwai_14039,tanchuang_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,1,1,255,,
14040,灯笼路灯,icon_shiwai_14040,FurnitureIcon_01_atlas,icon_shiwai_14040,dlld_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,1,1,500,,
14041,石狮子,icon_shiwai_14041,FurnitureIcon_01_atlas,icon_shiwai_14041,shishizi_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,1,1,500,,
14042,竹景,icon_shiwai_14042,FurnitureIcon_01_atlas,icon_shiwai_14042,zujing_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,2,2,500,,
15001,宠物小家,icon_petHome_15001,FurnitureIcon_01_atlas,icon_petHome_15001,dogroom_01,,,,宠物居住的避难室。,,11,0,-1,-1,6,6,0,0,0,,2,1,,,
17001,初级铁矿箱,icon_tiekuangxiang_17001,FurnitureIcon_01_atlas,icon_tiekuangxiang_17001,tkc_lev01,,jiaju_ziyuan1,,一个能够存放少量铁矿的箱子。,5:0:15:16,9,3,5,3,1,1,1,1,100,2,1,1,,,
17002,中级铁矿箱,icon_tiekuangxiang_17002,FurnitureIcon_01_atlas,icon_tiekuangxiang_17002,tkc_lev02,,jiaju_ziyuan1,,一个能够存放一些铁矿的箱子。,5:0:15:16,9,3,5,3,1,1,0,1,100,3,1,1,,,
17003,高级铁矿箱,icon_tiekuangxiang_17003,FurnitureIcon_01_atlas,icon_tiekuangxiang_17003,tkc_lev03,,jiaju_ziyuan1,,一个能够存放大量铁矿的箱子。,5:0:15:16,9,3,5,3,1,1,0,1,100,4,2,1,,,
18001,初级木材箱,icon_mucaijia_18001,FurnitureIcon_01_atlas,icon_mucaijia_18001,mcj_lev01,,jiaju_ziyuan2,,一个能够存放少量木材的箱子。,6:0:15:16,9,7,5,3,1,1,1,1,250,2,1,1,,,
18002,中级木材箱,icon_mucaijia_18002,FurnitureIcon_01_atlas,icon_mucaijia_18002,mcj_lev02,,jiaju_ziyuan2,,一个能够存放一些木材的箱子。,6:0:15:16,9,7,5,3,1,1,0,1,250,3,1,1,,,
18003,高级木材箱,icon_mucaijia_18003,FurnitureIcon_01_atlas,icon_mucaijia_18003,mcj_lev03,,jiaju_ziyuan2,,一个能够存放大量木材的箱子。,6:0:15:16,9,7,5,3,1,1,0,1,250,4,2,1,,,
19001,初级皮革箱,icon_pigejia_19001,FurnitureIcon_01_atlas,icon_pigejia_19001,pgj_lev01,,jiaju_ziyuan3,,一个能够存放少量皮革的箱子。,7:0:15:16,9,10,5,3,1,1,1,1,500,2,1,1,,,
19002,中级皮革箱,icon_pigejia_19002,FurnitureIcon_01_atlas,icon_pigejia_19002,pgj_lev02,,jiaju_ziyuan3,,一个能够存放一些皮革的箱子。,7:0:15:16,9,10,5,3,1,1,0,1,500,3,2,1,,,
19003,高级皮革箱,icon_pigejia_19003,FurnitureIcon_01_atlas,icon_pigejia_19003,pgj_lev03,,jiaju_ziyuan3,,一个能够存放大量皮革的箱子。,7:0:15:16,9,10,5,3,1,1,0,1,500,4,2,1,,,
20001,初级化学药剂柜,icon_huaxuekui_20001,FurnitureIcon_01_atlas,icon_huaxuekui_20001,hxyg_lev01,,jiaju_ziyuan4,,一个能够存放少量化学药剂的柜子。,8:0:15:16,9,9,5,3,1,1,1,1,750,2,1,1,,,
20002,中级化学药剂柜,icon_huaxuekui_20002,FurnitureIcon_01_atlas,icon_huaxuekui_20002,hxyg_lev02,,jiaju_ziyuan4,,一个能够存放一些化学药剂的柜子。,8:0:15:16,9,9,5,3,1,1,0,1,750,3,1,1,,,
20003,高级化学药剂柜,icon_huaxuekui_20003,FurnitureIcon_01_atlas,icon_huaxuekui_20003,hxyg_lev03,,jiaju_ziyuan4,,一个能够存放大量化学药剂的柜子。,8:0:15:16,9,9,5,3,1,1,0,1,750,4,2,1,,,
21001,初级钢材箱,icon_gangcaijia_21001,FurnitureIcon_01_atlas,icon_gangcaijia_21001,gcj_lev01,,jiaju_ziyuan5,,一个能够存放少量钢材的箱子。,9:0:15:16,9,8,5,3,1,1,1,1,20000,2,1,1,,,
21002,中级钢材箱,icon_gangcaijia_21002,FurnitureIcon_01_atlas,icon_gangcaijia_21002,gcj_lev02,,jiaju_ziyuan5,,一个能够存放一些钢材的箱子。,9:0:15:16,9,8,5,3,1,1,0,1,20000,3,2,1,,,
21003,高级钢材箱,icon_gangcaijia_21003,FurnitureIcon_01_atlas,icon_gangcaijia_21003,gcj_lev03,,jiaju_ziyuan5,,一个能够存放大量钢材的箱子。,9:0:15:16,9,8,5,3,1,1,0,1,20000,4,1,2,,,
22001,初级橡胶架,icon_xianjiaojia_22001,FurnitureIcon_01_atlas,icon_xianjiaojia_22001,xjj_lev01,,jiaju_ziyuan6,,一个能够存放少量橡胶的架子。,10:0:15:16,9,1,5,3,1,1,1,1,20000,2,1,1,,,
22002,中级橡胶架,icon_xianjiaojia_22002,FurnitureIcon_01_atlas,icon_xianjiaojia_22002,xjj_lev02,,jiaju_ziyuan6,,一个能够存放一些橡胶的架子。,10:0:15:16,9,1,5,3,1,1,0,1,20000,3,1,1,,,
22003,高级橡胶架,icon_xianjiaojia_22003,FurnitureIcon_01_atlas,icon_xianjiaojia_22003,xjj_lev03,,jiaju_ziyuan6,,一个能够存放大量橡胶的架子。,10:0:15:16,9,1,5,3,1,1,0,1,20000,4,2,2,,,
23001,初级布料箱,icon_buliaojia_23001,FurnitureIcon_01_atlas,icon_buliaojia_23001,bj_lev01,,jiaju_ziyuan7,,一个能够存放少量布料的箱子。,11:0:15:16,9,6,5,3,1,1,1,1,20000,2,1,1,,,
23002,中级布料箱,icon_buliaojia_23002,FurnitureIcon_01_atlas,icon_buliaojia_23002,bj_lev02,,jiaju_ziyuan7,,一个能够存放一些布料的箱子。,11:0:15:16,9,6,5,3,1,1,0,1,20000,3,1,1,,,
23003,高级布料箱,icon_buliaojia_23003,FurnitureIcon_01_atlas,icon_buliaojia_23003,bj_lev03,,jiaju_ziyuan7,,一个能够存放大量布料的箱子。,11:0:15:16,9,6,5,3,1,1,0,1,20000,4,2,1,,,
24001,初级储油箱,icon_chuyouxiang_24001,FurnitureIcon_01_atlas,icon_chuyouxiang_24001,cyx_lev01,,jiaju_ziyuan8,,一个能够存放少量油料的箱子。,12:0:15:16,9,4,5,3,1,1,1,1,20000,2,1,1,,,
24002,中级储油箱,icon_chuyouxiang_24002,FurnitureIcon_01_atlas,icon_chuyouxiang_24002,cyx_lev02,,jiaju_ziyuan8,,一个能够存放一些油料的箱子。,12:0:15:16,9,4,5,3,1,1,0,1,20000,3,1,1,,,
24003,高级储油箱,icon_chuyouxiang_24003,FurnitureIcon_01_atlas,icon_chuyouxiang_24003,cyx_lev03,,jiaju_ziyuan8,,一个能够存放大量油料的箱子。,12:0:15:16,9,4,5,3,1,1,0,1,20000,4,1,2,,,
25001,初级电路元件箱,icon_dianluxiang_25001,FurnitureIcon_01_atlas,icon_dianluxiang_25001,jtx_lev01,,jiaju_ziyuan9,,一个能够存放少量电路元件的箱子。,13:0:15:16,9,5,5,3,1,1,1,1,2000000,2,1,1,,,
25002,中级电路元件箱,icon_dianluxiang_25002,FurnitureIcon_01_atlas,icon_dianluxiang_25002,jtx_lev02,,jiaju_ziyuan9,,一个能够存放一些电路元件的箱子。,13:0:15:16,9,5,5,3,1,1,0,1,2000000,3,1,1,,,
25003,高级电路元件箱,icon_dianluxiang_25003,FurnitureIcon_01_atlas,icon_dianluxiang_25003,jtx_lev03,,jiaju_ziyuan9,,一个能够存放大量电路元件的箱子。,13:0:15:16,9,5,5,3,1,1,0,1,2000000,4,1,2,,,
26001,初级玻璃架,icon_bolijia_26001,FurnitureIcon_01_atlas,icon_bolijia_26001,blj_lev01,,jiaju_ziyuan10,,一个能够存放少量玻璃的架子。,14:0:15:16,9,2,5,3,1,1,1,1,2000000,2,1,1,,,
26002,中级玻璃架,icon_bolijia_26002,FurnitureIcon_01_atlas,icon_bolijia_26002,blj_lev02,,jiaju_ziyuan10,,一个能够存放一些玻璃的架子。,14:0:15:16,9,2,5,3,1,1,0,1,2000000,3,1,2,,,
26003,高级玻璃架,icon_bolijia_26003,FurnitureIcon_01_atlas,icon_bolijia_26003,blj_lev03,,jiaju_ziyuan10,,一个能够存放大量玻璃的架子。,14:0:15:16,9,2,5,3,1,1,0,1,2000000,4,1,2,,,
27001,初级枪械货架,icon_rwqj_27001,FurnitureIcon_01_atlas,icon_rwqj_27001,rwqj_lev01,,jiaju_huojia1,,一个能够展示少量枪械的简单架子。,1:2:15:16,7,1,-1,3,1,1,1,1,100,2,1,1,,,
27002,中级枪械货架,icon_rwqj_27002,FurnitureIcon_01_atlas,icon_rwqj_27002,rwqj_lev02,,jiaju_huojia1,,一个能够展示一些枪械的架子。,1:2:15:16,7,1,-1,3,1,1,0,1,100,3,2,1,,,
27003,高级枪械货架,icon_rwqj_27003,FurnitureIcon_01_atlas,icon_rwqj_27003,rwqj_lev03,,jiaju_huojia1,,一个能够展示大量枪械的豪华货架。,1:2:15:16,7,1,-1,3,1,1,0,1,100,4,3,1,,,
28001,初级冷兵器货架,icon_lwqj_28001,FurnitureIcon_01_atlas,icon_lwqj_28001,lbqj_lev01,,jiaju_huojia2,,一个能够展示少量刀具与棍棒的简单架子。,1:2:15:16,7,2,-1,3,1,1,1,1,100,2,2,1,,,
28002,中级冷兵器货架,icon_lwqj_28002,FurnitureIcon_01_atlas,icon_lwqj_28002,lbqj_lev02,,jiaju_huojia2,,一个能够展示一些刀具与棍棒的架子。,1:2:15:16,7,2,-1,3,1,1,0,1,100,3,2,1,,,
28003,高级冷兵器货架,icon_lwqj_28003,FurnitureIcon_01_atlas,icon_lwqj_28003,lbqj_lev03,,jiaju_huojia2,,一个能够展示大量刀具与棍棒的豪华货架。,1:2:15:16,7,2,-1,3,1,1,0,1,100,4,3,1,,,
29001,初级防具货架,icon_fjj_29001,FurnitureIcon_01_atlas,icon_fjj_29001,fjj_lev01,,jiaju_huojia3,,一个能够展示一套衣甲/手套/鞋帽的简单架子。,1:2:15:16,7,3,-1,3,1,1,1,1,100,2,1,1,,,
29002,中级防具货架,icon_fjj_29002,FurnitureIcon_01_atlas,icon_fjj_29002,fjj_lev02,,jiaju_huojia3,,一个能够展示两套衣甲/手套/鞋帽的架子。,1:2:15:16,7,3,-1,3,1,1,0,1,100,3,2,1,,,
29003,高级防具货架,icon_fjj_29003,FurnitureIcon_01_atlas,icon_fjj_29003,fjj_lev03,,jiaju_huojia3,,一个能够展示三套衣甲/手套/鞋帽的豪华货架。,1:2:15:16,7,3,-1,3,1,1,0,1,100,4,2,1,,,
30001,初级散件货架,icon_sjjia_30001,FurnitureIcon_01_atlas,icon_sjjia_30001,sjhj_lev01,,jiaju_huojia4,,一个能够展示少量辅助装备的简单架子。,1:2:15:16,7,4,-1,3,4,6,1,1,1000,2,1,1,,,
30002,中级散件货架,icon_sjjia_30002,FurnitureIcon_01_atlas,icon_sjjia_30002,sjhj_lev02,,jiaju_huojia4,,一个能够展示一些辅助装备的架子。,1:2:15:16,7,4,-1,3,4,6,0,1,1000,3,1,2,,,
30003,高级散件货架,icon_sjjia_30003,FurnitureIcon_01_atlas,icon_sjjia_30003,sjhj_lev03,,jiaju_huojia4,,一个能够展示大量辅助装备的豪华货架。,1:2:15:16,7,4,-1,3,4,6,0,1,1000,4,1,2,,,
31001,初级储物箱,icon_bxg_31001,FurnitureIcon_01_atlas,icon_bxg_31001,bxg_lev01,,jiaju_xiangzi1,,一个能够存放少量物资的简易储物箱。,3:4:15:16,8,1,3,3,1,1,1,1,500,2,1,1,,,
31002,中级储物箱,icon_bxg_31002,FurnitureIcon_01_atlas,icon_bxg_31002,bxg_lev02,,jiaju_xiangzi1,,一个能够存储一定数量物资的储物箱。,3:4:15:16,8,1,3,3,1,1,0,1,500,3,1,1,,,
31003,高级储物箱,icon_bxg_31003,FurnitureIcon_01_atlas,icon_bxg_31003,bxg_lev03,,jiaju_xiangzi1,,一个能够存储大量物资的豪华储物箱。,3:4:15:16,8,1,3,3,1,1,0,1,500,4,1,1,,,
