languages_game,languages_CN,languages_TC,languages_EN
可以获得「方形红毯」--装饰店铺所用的地毯,可以获得「方形红毯」--装饰店铺所用的地毯,可以獲得「方形紅毯」--裝飾店鋪所用的地毯,Contains「Red Square Carpet」--Shop Carpet
可以获得「魔法地毯」--装饰店铺所用的地毯,可以获得「魔法地毯」--装饰店铺所用的地毯,可以獲得「魔法地毯」--裝飾店鋪所用的地毯,Contains「Magic Carpet」--Shop Carpet
可以获得「圆形红毯」--装饰店铺所用的地毯,可以获得「圆形红毯」--装饰店铺所用的地毯,可以獲得「圓形紅毯」--裝飾店鋪所用的地毯,Contains「Red Round Carpet」--Shop Carpet
可以获得「流苏毯」--装饰店铺所用的地毯,可以获得「流苏毯」--装饰店铺所用的地毯,可以獲得「流蘇毯」--裝飾店鋪所用的地毯,Contains「Tassel Blanket」--Shop Carpet
可以获得「百灵鸟毯」--装饰店铺所用的地毯,可以获得「百灵鸟毯」--装饰店铺所用的地毯,可以獲得「百靈鳥毯」--裝飾店鋪所用的地毯,Contains「Lark Blanket」--Shop Carpet
可以获得「鹿角毯」--装饰店铺所用的地毯,可以获得「鹿角毯」--装饰店铺所用的地毯,可以獲得「鹿角毯」--裝飾店鋪所用的地毯,Contains「Antler Blanket」--Shop Carpet
可以获得「斑点狗地毯」--装饰店铺所用的地毯,可以获得「斑点狗地毯」--装饰店铺所用的地毯,可以獲得「斑點狗地毯」--裝飾店鋪所用的地毯,Contains「Dalmatians Carpet」--Shop Carpet
可以获得「熊皮地毯」--装饰店铺所用的地毯,可以获得「熊皮地毯」--装饰店铺所用的地毯,可以獲得「熊皮地毯」--裝飾店鋪所用的地毯,Contains「Bearskin Rug」--Shop Carpet
可以获得「残破的发电机」--装饰店铺外的室外摆件,可以获得「残破的发电机」--装饰店铺外的室外摆件,可以獲得「殘破的發電機」--裝飾店鋪外的室外擺件,Contains「Broken Generator」--Outdoor Furniture
可以获得「招牌废墟」--装饰店铺外的室外摆件,可以获得「招牌废墟」--装饰店铺外的室外摆件,可以獲得「招牌廢墟」--裝飾店鋪外的室外擺件,Contains「Signboard Ruins」--Outdoor Furniture
可以获得「路障」--装饰店铺外的室外摆件,可以获得「路障」--装饰店铺外的室外摆件,可以獲得「路障」--裝飾店鋪外的室外擺件,Contains「Roadblock」--Outdoor Furniture
可以获得「烧烤架」--装饰店铺外的室外摆件,可以获得「烧烤架」--装饰店铺外的室外摆件,可以獲得「燒烤架」--裝飾店鋪外的室外擺件,Contains「Barbecue Rack」--Outdoor Furniture
可以获得「邮箱」--装饰店铺外的室外摆件,可以获得「邮箱」--装饰店铺外的室外摆件,可以獲得「郵箱」--裝飾店鋪外的室外擺件,Contains「Mailbox」--Outdoor Furniture
可以获得「童年秋千」--装饰店铺外的室外摆件,可以获得「童年秋千」--装饰店铺外的室外摆件,可以獲得「童年秋千」--裝飾店鋪外的室外擺件,Contains「Minor Swing」--Outdoor Furniture
可以获得「仙人掌绿植」--装饰店铺外的室外摆件,可以获得「仙人掌绿植」--装饰店铺外的室外摆件,可以獲得「仙人掌綠植」--裝飾店鋪外的室外擺件,Contains「Cactus」--Outdoor Furniture
可以获得「热带椰子树」--装饰店铺外的室外摆件,可以获得「热带椰子树」--装饰店铺外的室外摆件,可以獲得「熱帶椰子樹」--裝飾店鋪外的室外擺件,Contains「Coconut Tree」--Outdoor Furniture
可以获得「凉亭」--装饰店铺外的室外摆件,可以获得「凉亭」--装饰店铺外的室外摆件,可以獲得「涼亭」--裝飾店鋪外的室外擺件,Contains「Gazebo」--Outdoor Furniture
可以获得「冰淇淋车」--装饰店铺外的室外摆件,可以获得「冰淇淋车」--装饰店铺外的室外摆件,可以獲得「冰淇淋車」--裝飾店鋪外的室外擺件,Contains「Ice Cream Truck」--Outdoor Furniture
可以获得「自由女神」--装饰店铺外的室外摆件,可以获得「自由女神」--装饰店铺外的室外摆件,可以獲得「自由女神」--裝飾店鋪外的室外擺件,Contains「Statue of Liberty」--Outdoor Furniture
可以获得「水井」--装饰店铺外的室外摆件,可以获得「水井」--装饰店铺外的室外摆件,可以獲得「水井」--裝飾店鋪外的室外擺件,Contains「Well」--Outdoor Furniture
可以获得「狮身人像」--装饰店铺外的室外摆件,可以获得「狮身人像」--装饰店铺外的室外摆件,可以獲得「獅身人像」--裝飾店鋪外的室外擺件,Contains「Sphinx」--Outdoor Furniture
可以获得「神庙」--装饰店铺外的室外摆件,可以获得「神庙」--装饰店铺外的室外摆件,可以獲得「神廟」--裝飾店鋪外的室外擺件,Contains「Temple」--Outdoor Furniture
可以获得「玛雅金字塔」--装饰店铺外的室外摆件,可以获得「玛雅金字塔」--装饰店铺外的室外摆件,可以獲得「瑪雅金字塔」--裝飾店鋪外的室外擺件,Contains「Mayan Pyramid」--Outdoor Furniture
可以获得「埃菲尔铁塔」--装饰店铺外的室外摆件,可以获得「埃菲尔铁塔」--装饰店铺外的室外摆件,可以獲得「埃菲爾鐵塔」--裝飾店鋪外的室外擺件,Contains「Eiffel Tower」--Outdoor Furniture
可以获得「比萨斜塔」--装饰店铺外的室外摆件,可以获得「比萨斜塔」--装饰店铺外的室外摆件,可以獲得「比薩斜塔」--裝飾店鋪外的室外擺件,Contains「Leaning Tower」--Outdoor Furniture
可以获得「废弃加油机」--装饰店铺外的室外摆件,可以获得「废弃加油机」--装饰店铺外的室外摆件,可以獲得「廢棄加油機」--裝飾店鋪外的室外擺件,Contains「Fuel Dispenser」--Outdoor Furniture
可以获得「印第安图腾柱」--装饰店铺外的室外摆件,可以获得「印第安图腾柱」--装饰店铺外的室外摆件,可以獲得「印第安圖騰柱」--裝飾店鋪外的室外擺件,Contains「Indian Totem」--Outdoor Furniture
可以获得「房车」--装饰店铺外的室外摆件,可以获得「房车」--装饰店铺外的室外摆件,可以獲得「房車」--裝飾店鋪外的室外擺件,Contains「Motorhome」--Outdoor Furniture
可以获得「游艇」--装饰店铺外的室外摆件,可以获得「游艇」--装饰店铺外的室外摆件,可以獲得「遊艇」--裝飾店鋪外的室外擺件,Contains「Yacht」--Outdoor Furniture
可以获得「耶稣神像」--装饰店铺外的室外摆件,可以获得「耶稣神像」--装饰店铺外的室外摆件,可以獲得「耶穌神像」--裝飾店鋪外的室外擺件,Contains「Jesus Statue」--Outdoor Furniture
可以获得「花盆路灯」--装饰店铺外的室外摆件,可以获得「花盆路灯」--装饰店铺外的室外摆件,可以獲得「花盆路燈」--裝飾店鋪外的室外擺件,Contains「Flowerpot Light」--Outdoor Furniture
恭喜{0}在<Color=#0DF38D>礼包</Color>中获得{1},恭喜{0}在<Color=#0DF38D>礼包</Color>中获得{1},恭喜{0}在<Color=#0DF38D>禮包</Color>中獲得{1},Congrats! {0} obtained {1} from the <Color=#0DF38D> Pack</Color>
挑战街道废墟正常难度BOSSx1次,挑战街道废墟正常难度BOSSx1次,挑戰街道廢墟正常難度BOSSx1次,Challenge the Street Ruins boss(Normal) x1 time
转盘可以抽取到各种各样的福利道具！,转盘可以抽取到各种各样的福利道具！,轉盤可以抽取到各種各樣的福利道具！,Win various items from Lucky Wheel！
累计卖出价值{1}新币的{0},累计卖出价值{1}新币的{0},累計賣出價值{1}新幣的{0},Earn up to {1} new dollar by selling {0}
通过市场出售装备获得{1}新币,通过市场出售装备获得{1}新币,通過市場出售裝備獲得{1}新幣,Earn {1} new dollar from the market
在英雄酒吧刷新{1}次,在英雄酒吧刷新{1}次,在英雄酒吧刷新{1}次,Refresh the bar {1} time(s)
商店内摆放5个货架,商店内摆放5个货架,商店內擺放5個貨架,Place 5 shelves
完成任务获取活跃值领取礼包\n礼包可获得英雄晋级道具\n每日00:00刷新活跃奖励,完成任务获取活跃值领取礼包\n每日00:00刷新活跃奖励,完成任務獲取活躍值領取禮包\n每日00:00刷新活躍獎勵,Complete tasks to claim gift packs\n Active rewards are refreshed daily at 00:00
购买后完成任务可解锁以下奖励,◆ 购买后完成任务可解锁以下奖励 ◆,◆ 購買後完成任務可解鎖以下獎勵 ◆,◆ Complete tasks after purchase to unlock the following rewards ◆
{0}点,{0}点,{0}點,{0} points
发送内容中包含敏感内容,发送内容中包含敏感内容,發送內容中包含敏感內容,The content contains invalid words
领取奖励！,领取奖励！,領取獎勵！,Claim Reward!
<size=30>联盟技术</size>,<size=30>联盟技术</size>,<size=30>聯盟技術</size>,<size=30>Guild Tech</size>
招募,招募,招募,Recruit
容量,容量,容量,Capacity
赶工,催促,催促,Rush
广告,广告,廣告,Ads
<size=46>优惠</size>,<size=46>优惠</size>,<size=46>優惠</size>,<size=46>Discounts</size>
优惠,优惠,優惠,Discounts
超值,超值,超值,Bonus
首次翻倍,首次翻倍,首次翻倍,1st Double
3，  解除大亨通行证层数限制层数限制,3，  解除大亨通行证层数限制层数限制,3，  解除大亨通行證層數限製層數限製,3. No limit to tier of Tycoon Pass
距商店关闭还有,距商店关闭还有,距商店關閉還有,Close in:
<size=32>价格</size>,<size=32>价格</size>,<size=32>價格</size>,<size=32>Price</size>
<size=32>优惠</size>,<size=32>优惠</size>,<size=32>優惠</size>,<size=32>Discounts</size>
联盟勋章，可以用来升级联盟科技，开启联盟技能,联盟勋章，可以用来升级联盟科技，开启联盟技能,聯盟勛章，可以用來升級聯盟科技，開啟聯盟技能,Guild Medals， which can be used to upgrade guild tech and unlock guild skills
电锯重弹枪,电锯重弹枪,電鋸重彈槍,Chainsaw Gun
暗金大盾,暗金大盾,暗金大盾,Dark Shield
K6-3头盔,K6-3头盔,K6-3頭盔,K6-3 Helmet
优秀电锯重弹枪,优秀电锯重弹枪,優秀電鋸重彈槍,Superior Chainsaw Gun
无暇电锯重弹枪,无暇电锯重弹枪,無暇電鋸重彈槍,Flawless Chainsaw Gun
史诗电锯重弹枪,史诗电锯重弹枪,史詩電鋸重彈槍,Epic Chainsaw Gun
传奇电锯重弹枪,传奇电锯重弹枪,傳奇電鋸重彈槍,Legendary Chainsaw Gun
优秀K6-3头盔,优秀K6-3头盔,優秀K6-3頭盔,Superior K6-3 Helmet
无暇K6-3头盔,无暇K6-3头盔,無暇K6-3頭盔,Flawless K6-3 Helmet
史诗K6-3头盔,史诗K6-3头盔,史詩K6-3頭盔,Epic K6-3 Helmet
传奇K6-3头盔,传奇K6-3头盔,傳奇K6-3頭盔,Legendary K6-3 Helmet
微波照射仪,微波照射仪,微波照射儀,Irradiator
优秀微波照射仪,优秀微波照射仪,優秀微波照射儀,Superior Irradiator
无暇微波照射仪,无暇微波照射仪,無暇微波照射儀,Flawless Irradiator
史诗微波照射仪,史诗微波照射仪,史詩微波照射儀,Epic Irradiator
传奇微波照射仪,传奇微波照射仪,傳奇微波照射儀,Legendary Irradiator
黑金十字架,黑金十字架,黑金十字架,Gold Cross
优秀黑金十字架,优秀黑金十字架,優秀黑金十字架,Superior Gold Cross
无暇黑金十字架,无暇黑金十字架,無暇黑金十字架,Flawless Gold Cross
史诗黑金十字架,史诗黑金十字架,史詩黑金十字架,Epic Gold Cross
传奇黑金十字架,传奇黑金十字架,傳奇黑金十字架,Legendary Gold Cross
冠军的奖杯,冠军的奖杯,冠軍的獎杯,Champion Trophy
优秀冠军的奖杯,优秀冠军的奖杯,優秀冠軍的獎杯,Superior Trophy
无暇冠军的奖杯,无暇冠军的奖杯,無暇冠軍的獎杯,Flawless Trophy
史诗冠军的奖杯,史诗冠军的奖杯,史詩冠軍的獎杯,Epic Trophy
传奇冠军的奖杯,传奇冠军的奖杯,傳奇冠軍的獎杯,Legendary Trophy
优秀暗金大盾,优秀暗金大盾,優秀暗金大盾,Superior Dark Shield
无暇暗金大盾,无暇暗金大盾,無暇暗金大盾,Flawless Dark Shield
史诗暗金大盾,史诗暗金大盾,史詩暗金大盾,Epic Dark Shield
传奇暗金大盾,传奇暗金大盾,傳奇暗金大盾,Legendary Dark Shield
站在枪口前，你也伤害不了它,站在枪口前，你也伤害不了它,站在槍口前，你也傷害不了它,You can't hurt it even if standing in front of the gun
定向微波技术，据说可以把你的心脏烤熟,定向微波技术，据说可以把你的心脏烤熟,定向微波技術，據說可以把你的心臟烤熟,Kind of microwave technology， which is said to cook heart
盾牌的正面透露出无比的奢华，也许它的装饰作用强于防御作用？,盾牌的正面透露出无比的奢华，也许它的装饰作用强于防御作用？,盾牌的正面透露出無比的奢華，也許它的裝飾作用強於防禦作用？,The shield reveals great luxury. Perhaps it's more decorative than defensive?
制作短袖达到X12可解锁,制作短袖达到X12可解锁,製作短袖達到X12可解鎖,Can be unlocked by crafting ×12 Shirt
制作铁桶头盔达到X20可解锁,制作铁桶头盔达到X20可解锁,製作鐵桶頭盔達到X20可解鎖,Can be unlocked by crafting ×20 Iron Helmet
制作牛仔裤达到X8可解锁,制作牛仔裤达到X8可解锁,製作牛仔褲達到X8可解鎖,Can be unlocked by crafting ×8 Jeans
制作粗壮树干达到X7可解锁,制作粗壮树干达到X7可解锁,製作粗壯樹幹達到X7可解鎖,Can be unlocked by crafting ×7 Sturdy Trunk
制作拳刺达到X8可解锁,制作拳刺达到X8可解锁,製作拳刺達到X8可解鎖,Can be unlocked by crafting ×8 Knuckles
制作雷明顿M870达到X8可解锁,制作雷明顿M870达到X8可解锁,製作雷明頓M870達到X8可解鎖,Can be unlocked by crafting ×8 M870
制作590M霰弹枪达到X30可解锁,制作590M霰弹枪达到X30可解锁,製作590M霰彈槍達到X30可解鎖,Can be unlocked by crafting ×30 590M
制作砍刀达到X7可解锁,制作砍刀达到X7可解锁,製作砍刀達到X7可解鎖,Can be unlocked by crafting ×7 Machete
制作粗壮树干达到X18可解锁,制作粗壮树干达到X18可解锁,製作粗壯樹幹達到X18可解鎖,Can be unlocked by crafting ×18 Trunk
制作劫掠者盾牌达到X36可解锁,制作劫掠者盾牌达到X36可解锁,製作劫掠者盾牌達到X36可解鎖,Can be unlocked by crafting ×36 Bandit Shield
当前有高品质英雄尚未招募，确认是否继续刷新？,当前有高品质英雄尚未招募，确认是否继续刷新？,當前有高品質英雄尚未招募，確認是否繼續刷新？,There are now high-quality heroes to recruit. Are you sure to refresh?
喂食优质食物,喂食优质食物,餵食優質食物,Feed excellent food
是否确定从店铺中移除该宠物？,是否确定从店铺中移除该宠物？,是否確定從店鋪中移除該寵物？,Do you confirm to remove this pet?
你可以免费更换一次用户名。,你可以免费更换一次用户名。,你可以免費更換一次用戶名。,You have a free chance to change the name
领袖之路成长计划,领袖之路成长计划，<color=#61c2ff><size=42>20</size>倍</color>收益！\n可领取<color=#ffea3c><size=42>13600</size>金条奖励！</color>,領袖之路成長計劃，<color=#61c2ff><size=42>20</size>倍</color>收益！\n可領取<color=#ffea3c><size=42>16000</size>金條獎勵！</color>,Leader's Plan， <color=#61c2ff><size=42>2000%</size></color> bonus! \n  <color=#ec6eff><size=42>9.99</size>$</color> to get items worth <color=#ffea3c><size=42>16K</size> gold bar! </color>
正常难度,普通难度,普通難度,Normal
正常,普通,普通,Normal
挑战街道废墟正常难度BOSSx2次,挑战街道废墟普通难度BOSSx2次,挑戰街道廢墟普通難度BOSSx2次,Challenge the Street Ruins boss(Normal) 2 times
尝试给这名幸运顾客<Color=#3aff5c>折扣</Color>，他会感谢你的。,给这名幸运顾客<Color=#3aff5c>折扣</Color>，他会赠送大量能量给你！,給這名幸運顧客<Color=#3aff5c>折扣</Color>，他會贈送大量能量給你！,Try to <Color=#3aff5c> discount</Color> this lucky customer. He will appreciate it.
折扣,折扣出售恢复能量,折扣出售恢復能量,Discount
额外收费,消耗能量加成收益,消耗能量加成收益,Surcharge
商店白天背景音乐,商店白天背景音乐,商店白天背景音樂,
商店晚上背景音乐,商店晚上背景音乐,商店晚上背景音樂,
城市背景音乐,城市背景音乐,城市背景音樂,
通用升级音效（建筑、英雄升级）,通用升级音效（建筑、英雄升级）,通用升級音效（建築、英雄升級）,
新增：激活图纸音效,新增：激活图纸音效,新增：激活圖紙音效,
新增：升级商店音效,新增：升级商店音效,新增：升級商店音效,
新增：店主升级音效,新增：店主升级音效,新增：店主升級音效,
新增：副本出战短曲,新增：副本出战短曲,新增：副本出戰短曲,
新增：步枪开枪声,新增：步枪开枪声,新增：步槍開槍聲,
新增：钝器攻击声,新增：钝器攻击声,新增：鈍器攻擊聲,
新增：弓箭射箭声,新增：弓箭射箭声,新增：弓箭射箭聲,
新增：利刃攻击声,新增：利刃攻击声,新增：利刃攻擊聲,
新增：手枪开枪声,新增：手枪开枪声,新增：手槍開槍聲,
新增：霰弹枪开枪声,新增：霰弹枪开枪声,新增：霰彈槍開槍聲,
新增：重机枪开枪声,新增：重机枪开枪声,新增：重機槍開槍聲,
新增：狙击枪开枪声,新增：狙击枪开枪声,新增：狙擊槍開槍聲,
新增：丧尸怪攻击声,新增：丧尸怪攻击声,新增：喪屍怪攻擊聲,
新增：丧尸BOSS攻击声,新增：丧尸BOSS攻击声,新增：喪屍BOSS攻擊聲,
新增：毒液受击声,新增：毒液受击声,新增：毒液受擊聲,
新增：利刃受击声,新增：利刃受击声,新增：利刃受擊聲,
新增：钝器/弓箭受击声,新增：钝器/弓箭受击声,新增：鈍器/弓箭受擊聲,
新增：霰弹枪受击声,新增：霰弹枪受击声,新增：霰彈槍受擊聲,
新增：手枪受击声,新增：手枪受击声,新增：手槍受擊聲,
新增：狙击枪受击声,新增：狙击枪受击声,新增：狙擊槍受擊聲,
新增：重武器/步枪受击声,新增：重武器/步枪受击声,新增：重武器/步槍受擊聲,
点击英雄列表中的酒吧招募入口,点击英雄列表中的酒吧招募入口,點擊英雄列表中的酒吧招募入口,
点击福利的关闭按钮,点击福利的关闭按钮,點擊福利的關閉按鈕,
关闭福利,关闭福利,關閉福利,
点击福利按钮,点击福利按钮,點擊福利按鈕,
点击主界面福利入口,点击主界面福利入口,點擊主界面福利入口,
点击商店按钮,点击商店按钮,點擊商店按鈕,
点击主界面商店入口,点击主界面商店入口,點擊主界面商店入口,
点击商店每日特惠标签,点击商店每日特惠标签,點擊商店每日特惠標簽,
点击商店内每日特惠标签,点击商店内每日特惠标签,點擊商店內每日特惠標簽,
点击商店黑市标签,点击商店黑市标签,點擊商店黑市標簽,
点击商店内黑市标签,点击商店内黑市标签,點擊商店內黑市標簽,
1天12时,1天12时,1天12時,
　　没有优秀的英雄怎么能探索这广阔的世界？现在他们来了。没有优秀的英雄怎么能探索这广阔的世界没有优秀的英雄怎么能探索这广阔的世界,　　没有优秀的英雄怎么能探索这广阔的世界？现在他们来了。没有优秀的英雄怎么能探索这广阔的世界没有优秀的英雄怎么能探索这广阔的世界,　　沒有優秀的英雄怎麽能探索這廣闊的世界？現在他們來了。沒有優秀的英雄怎麽能探索這廣闊的世界沒有優秀的英雄怎麽能探索這廣闊的世界,
　　没有优秀的英雄怎么能探索这广阔的世界？现在他们来了。没有优秀的英雄怎么能探索这广阔的世界,　　没有优秀的英雄怎么能探索这广阔的世界？现在他们来了。没有优秀的英雄怎么能探索这广阔的世界,　　沒有優秀的英雄怎麽能探索這廣闊的世界？現在他們來了。沒有優秀的英雄怎麽能探索這廣闊的世界,
制作4x衬衫来解锁黑长袍<Color=#84ff00>(3/4)</Color>,制作4x衬衫来解锁黑长袍<Color=#84ff00>(3/4)</Color>,製作4x襯衫來解鎖黑長袍<Color=#84ff00>(3/4)</Color>,
阿凡达-琳,阿凡达-琳,阿凡達-琳,
我是工匠,我是工匠,我是工匠,
加油站到达等级7！,加油站到达等级7！,加油站到達等級7！,
可穿戴3阶装备,可穿戴3阶装备,可穿戴3階裝備,
恭喜XX转职为护卫！,恭喜XX转职为护卫！,恭喜XX轉職為護衛！,
液体炸弹,液体炸弹,液體炸彈,
补充x300,补充x300,補充x300,
无法与服务器建立连接。请检查您的网,无法与服务器建立连接。请检查您的网,無法與服務器建立連接。請檢查您的網,
络。,络。,絡。,
您收到了：纸卷轴 x1,您收到了：纸卷轴 x1,您收到了：紙卷軸 x1,
天空有盾,天空有盾,天空有盾,
0.217361111111111,0.217361111111111,5時13分,
xxx的枪械,xxx的枪械,xxx的槍械,
优惠,优惠,優惠,
8000%！,8000%！,8000%！,
你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳,你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳,你好，歡迎來到我的商店，需要什麽裝備，我很樂意為你效勞你好，歡迎來到我的商店，需要什麽裝備，我很樂意為你效勞你好，歡迎來到我的商店，需要什麽裝備，我很樂意為你效勞,
冷兵器架子,冷兵器架子,冷兵器架子,
升级所需时间升级所需时间升级所需时间升级所需时间升级所需时间,升级所需时间升级所需时间升级所需时间升级所需时间升级所需时间,升級所需時間升級所需時間升級所需時間升級所需時間升級所需時間,
精致-2,精致-2,精致-2,
出售价格+6%,出售价格+6%,出售價格+6%,
天下兴旺,天下兴旺,天下興旺,
礼包名字,礼包名字,禮包名字,
标签,标签,標簽,
礼包文字描述,礼包文字描述,禮包文字描述,
原价￥666元,原价￥666元,原價￥666元,
我也不知道我是什么礼包111,我也不知道我是什么礼包111,我也不知道我是什麽禮包111,
我也不知道我是什么礼包222,我也不知道我是什么礼包222,我也不知道我是什麽禮包222,
23天20小时,23天20小时,23天20小時,
500/月,500/月,500/月,
1200,1200,1200,
0.172916666666667,0.172916666666667,4時09分,
伊丽莎白鼠,伊丽莎白鼠,伊麗莎白鼠,
0.460416666666667,0.460416666666667,11時03分,
3分24秒,3分24秒,3分24秒,
小松鼠,小松鼠,小松鼠,
我是克隆的,我是克隆的,我是克隆的,
我是修复进度条,我是修复进度条,我是修復進度條,
我是卢本伟,我是卢本伟,我是盧本偉,
服务器数据(去除要删除的id):,服务器数据(去除要删除的id):,服務器數據(去除要刪除的id):,
  垃圾id  ,  垃圾id  ,  垃圾id  ,
     ******** 客户端缓存数据(暂未同步)：,     ******** 客户端缓存数据(暂未同步)：,     ******** 客戶端緩存數據(暫未同步)：,
领取奖励！,领取奖励！,領取獎勵！,
,,,
制作3X手套,制作3X手套,製作3X手套,
,,,
7.63888888888889E-02,7.63888888888889E-02,1時50分,
制作其他物品6次,制作其他物品6次,製作其他物品6次,
,,,
售卖2X普荷叶,售卖2X普荷叶,售賣2X普荷葉,
,,,
板斧,板斧,板斧,
来自世界的方式将雷锋精神了快来自世界的方式将雷锋精神了快,来自世界的方式将雷锋精神了快来自世界的方式将雷锋精神了快,來自世界的方式將雷鋒精神了快來自世界的方式將雷鋒精神了快,
黄金钥匙,黄金钥匙,黃金鑰匙,
容量上限：78/90,容量上限：78/90,容量上限：78/90,
0.998611111111111,0.998611111111111,23時58分,
阿斯顿,阿斯顿,阿斯頓,
19分钟前,19分钟前,19分鐘前,
32分钟前,32分钟前,32分鐘前,
0.15,0.15,0.15,
鬼面军团,鬼面军团,鬼面軍團,
蛇皮袋,蛇皮袋,蛇皮袋,
轻型砍刀1111111111111111111111111,轻型砍刀1111111111111111111111111,輕型砍刀1111111111111111111111111,
0.489583333333333,0.489583333333333,11時45分,
12天23时,12天23时,12天23時,
43分34秒,43分34秒,43分34秒,
制作4x衬衫来解锁黑长袍(3/4),制作4x衬衫来解锁黑长袍(3/4),製作4x襯衫來解鎖黑長袍(3/4),
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
奖品1:1111    概率50%,奖品1:1111    概率50%,獎品1:1111    概率50%,
11级,11级,11級,
8分24秒,8分24秒,8分24秒,
英雄之剑,英雄之剑,英雄之劍,
5阶剑,5阶剑,5階劍,
铁血战靴啊啊,铁血战靴啊啊,鐵血戰靴啊啊,
述装述装述装述装述装述装述装述装述装述装,述装述装述装述装述装述装述装述装述装述装,述裝述裝述裝述裝述裝述裝述裝述裝述裝述裝,
升级槽5,升级槽5,升級槽5,
,,,
99级,99级,99級,
铁甲战衣,铁甲战衣,鐵甲戰衣,
制作16x烈焰铠甲,制作16x烈焰铠甲,製作16x烈焰鎧甲,
咆哮森林困难,咆哮森林困难,咆哮森林困難,
2小时30分,2小时30分,2小時30分,
12级,12级,12級,
6级,6级,6級,
神奇金属,神奇金属,神奇金屬,
通关公交站台30次,通关公交站台30次,通關公交站臺30次,
通关大卖场10次可解锁,通关大卖场10次可解锁,通關大賣場10次可解鎖,
12小时24分,12小时24分,12小時24分,
运力金刚宋万,运力金刚宋万,運力金剛宋萬,
萨芬,萨芬,薩芬,
6.66666666666667E-02,6.66666666666667E-02,1時36分,
赤金宝箱,赤金宝箱,赤金寶箱,
板斧11111111111111111111111,板斧11111111111111111111111,板斧11111111111111111111111,
15秒,15秒,15秒,
0.826388888888889,0.826388888888889,19時50分,
100解锁,100解锁,100解鎖,
,,,
赶工,催促,催促,
,,,
我是通知内容,我是通知内容,我是通知內容,
我是通知内容我是通知内容我是通知内容我是通知内容我是通知内容我是通知内容,我是通知内容我是通知内容我是通知内容我是通知内容我是通知内容我是通知内容,我是通知內容我是通知內容我是通知內容我是通知內容我是通知內容我是通知內容,
广告,广告,廣告,
测试,测试,測試,
健康游戏忠告,健康游戏忠告,健康遊戲忠告,
抵制不良游戏，拒绝盗版游戏。 ,抵制不良游戏，拒绝盗版游戏。 ,抵製不良遊戲，拒絕盜版遊戲。 ,
注意自我保护，谨防受骗上当。,注意自我保护，谨防受骗上当。,註意自我保護，謹防受騙上當。,
,,,
适度游戏益脑，沉迷游戏伤身。 ,适度游戏益脑，沉迷游戏伤身。 ,適度遊戲益腦，沈迷遊戲傷身。 ,
合理安排时间，享受健康生活。,合理安排时间，享受健康生活。,合理安排時間，享受健康生活。,
游戏著作权人：北京掌上迅联网络技术有限公司   出版单位：北京中科奥科技有限公司,游戏著作权人：北京掌上迅联网络技术有限公司   出版单位：北京中科奥科技有限公司,遊戲著作權人：北京掌上迅聯網絡技術有限公司   出版單位：北京中科奧科技有限公司,
,,,
审批文号： 新广出审{2017}2080号    出版物号：ISBN 978-7-7979-5554-6,审批文号： 新广出审{2017}2080号    出版物号：ISBN 978-7-7979-5554-6,審批文號： 新廣出審{2017}2080號    出版物號：ISBN 978-7-7979-5554-6,
杰西卡,杰西卡,傑西卡,
价值￥68,价值￥68,價值￥68,
正在升级箱子,正在升级箱子,正在升級箱子,
999，999.9亿,999，999.9亿,999，999.9億,
1天16时,1天16时,1天16時,
7个月,7个月,7個月,
下个倒计时18时47分,下个倒计时18时47分,下個倒計時18時47分,
我是礼包名字,我是礼包名字,我是禮包名字,
通过制作7个简易弓箭来解锁新装备左轮,通过制作7个简易弓箭来解锁新装备左轮,通過製作7個簡易弓箭來解鎖新裝備左輪,
迫击炮,迫击炮,迫擊炮,
1.01041666666667,1.01041666666667,1.01041666666667,
12天25时,12天25时,12天25時,
机械铠甲,机械铠甲,機械鎧甲,
2分35秒,2分35秒,2分35秒,
0.841666666666667,0.841666666666667,20時12分,
你确认要加入百奥达联盟吗？,你确认要加入百奥达联盟吗？,你確認要加入百奧達聯盟嗎？,
你确认要离开百奥达联盟吗？离开后你将无法享受联盟共享改造与研究技术等级加成！,你确认要离开百奥达联盟吗？离开后你将无法享受联盟共享改造与研究技术等级加成！,你確認要離開百奧達聯盟嗎？離開後你將無法享受聯盟共享改造與研究技術等級加成！,
