id,sort,index,task_id,desc,guide_type,mask_color,trigger_type,trigger_param,if_service_help,service_value,if_return,help_value,return_id,end_type,end_param,conditon_param_1,conditon_param_2,conditon_param_3,conditon_param_4,conditon_param_5,guide_btn_dev,conditon_param_6,btn_view,btn_name,character_id,arrow_direction,wait_id,next_id,last_id,
3404,34,4,0,琳对话~告诉你怎么研究图纸,1,0,1,,,,1,,3501,5,,1,,,,啊！大多数的高级图纸都需要<Color=#3aff5c>研究</Color>后才能使用。|您可以用<Color=#3aff5c>图纸碎片</Color>帮忙完成研究！|给，我帮您带了一些。您可以试着<Color=#3aff5c>研究</Color>一下。,,,,,3,,,3405,3403,
3405,34,5,,收取--纸卷轴（高级碎片）,24,0,7,ReceiveAwardUI,,,1,,3501,2,,,,300,,点击<Color=#3aff5c>收取</Color>按钮。,,,ReceiveAwardUI,getItemOKButton,3,,,3501,3404,
3501,35,1,0,点击制作-前往研究,24,55,7,mainUI,,,,,,2,,,,500,,点击<Color=#3aff5c>制作</Color>按钮。,,,mainUI,makeButton,3,,,3502,3405,
3502,35,2,0,点击连帽衫研究,24,55,7,EquipMakeUI,,,,,,2,,,,400,,点击<Color=#3aff5c>连帽衫</Color>进行研究。,0|-100,,EquipMakeUI,12020,3,,,3503,3501,
3503,35,3,,研究点击确定,24,0,7,UnLockDrawingUI,,,,,,2,,,,400,,点击<Color=#3aff5c>确定</Color>按钮解锁图纸。,,,UnLockDrawingUI,unLockBtn,3,,,3504,3502,
3504,35,4,,图纸激活-确认,24,0,7,ReceiveAwardUI,,,1,,3601,2,,,,300,,点击<Color=#3aff5c>确定</Color>按钮。,,,ReceiveAwardUI,activeDrawingOkButton,3,3,,3505,3503,
3505,35,5,,关闭制作界面,24,0,7,EquipMakeUI,,,1,,3601,2,,,,400,,点击<Color=#3aff5c>关闭</Color>按钮。,,,EquipMakeUI,closeButton,3,,,3506,3504,
3506,35,6,0,琳对话~研究后记得以后也要图纸,1,0,1,,,,1,,3601,5,,1,,,,您应该保留其他的<Color=#3aff5c>图纸碎片</Color>。以后研究高阶图纸都会派上用场的！,,,,,3,,,3507,3505,
3507,35,7,1113,任务领取奖励,3,0,7,GuideUI,,,1,,3601,2,,,,,,,,,GuideUI,Sure,,,,3508,3506,
3508,35,8,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,3601,1,,,,,,,,,,,,,,3601,3507,
3601,36,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,3602,3508,
3602,36,2,0,琳对话特殊材料只能在副本中获得,1,0,1,,,,,,,5,,1,,,,某些强力的装备制作会需要用到<Color=#3aff5c>特殊材料</Color>，这些材料只能在<Color=#3aff5c>探索</Color>中获得。,,,,,3,,,3603,3601,
3603,36,3,0,琳对话需要英雄才能打副本,1,0,1,,,,,,,5,,1,,,,也就是说，您一定需要一支由勇敢的<Color=#3aff5c>英雄</Color>组成的物资搜索队.......,,,,,3,,,3701,3602,
3701,37,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,3702,3603,
3702,37,2,0,招募英雄对话,1,0,1,,,,,,,5,,1,,,,要说为老板们探索寻找<Color=#3aff5c>副本特殊材料</Color>，我的人绝对是不会让您失望！|当然，是来<Color=#3aff5c>训练厅</Color>，才能给您推荐合适的英雄！,,,,,500,,,3703,3701,
3703,37,3,0,打开英雄,24,55,7,mainUI,,,,,,2,,,,500,,点击<Color=#3aff5c>英雄</Color>按钮。,,,mainUI,英雄按钮,500,,,3704,3702,
3704,37,4,0,点击英雄栏位---默认给两个英雄栏位,24,55,7,GetHeroPanel,,,,,,2,,,,450,,点击<Color=#3aff5c>训练厅</Color>。,0|80,,RolePanelUIView,exchangeHero,500,,,3705,3703,
3705,37,5,0,招募英雄对话,1,0,1,,,,,,,5,,1,,,,欢迎来到<Color=#3aff5c>训练厅</Color>，这里有各种职业和资质的<Color=#3aff5c>英雄</Color>正在找工作！|当然，他们也会看雇主的能力，<Color=#3aff5c>店主等级</Color>越高，越受他们的喜欢！|您现在应该刚来壁垒吧？那么这位学者就能<Color=#3aff5c>免费</Color>雇佣了！,,,,,500,,,3706,3704,
3706,37,6,0,点击招募,24,55,7,RoleExchangeUIView,,,,,,2,,,,500,,点击<Color=#3aff5c>免费</Color>招募他！,,,RoleExchangeUIView,1-bgIcon,500,,,3707,3705,
3707,37,7,0,英雄详情点击确定,24,0,7,GetHeroPanel,,,1,,5101,2,,,,600,,点击<Color=#3aff5c>确认</Color>按钮。,,,GetHeroPanel,okBtn,500,,,3708,3706,
3708,37,8,0,NPC介绍英雄，他（绿色英雄）可能不够强势需要更强力的英雄（蓝色英雄）,1,0,1,,,,1,,5101,5,,1,,,,记住，英雄能力也有高低之分，从低到高有<Color=#3aff5c>N</Color>-<Color=#0d7edd>R</Color>-<Color=#d506e2>SR</Color>-<Color=#e8890e>SSR</Color>四种评价。|话说回来，还是再给刚刚的<Color=#3aff5c>学者</Color>招募一名<Color=#3aff5c>武士</Color>来做队友保护他吧！,,,,,500,,,3801,3707,
3801,38,1,0,断线创建裁缝和店主,7,0,1,,,,1,,5101,6,,6|23,1,0,9|24,0,,,,,3,,,3802,3708,
3802,38,2,0,点击招募,24,55,7,RoleExchangeUIView,,,1,,5101,2,,,,500,,点击<Color=#3aff5c>免费</Color>招募他！,,,RoleExchangeUIView,2-bgIcon,500,,,3803,3801,
3803,38,3,0,英雄详情点击确定,24,0,7,GetHeroPanel,,,1,,5101,2,,,,600,,点击<Color=#3aff5c>确认</Color>按钮。,,,GetHeroPanel,okBtn,500,,,3901,3802,
3901,39,1,0,断线创建裁缝和店主,7,0,1,,,,1,,5101,6,,6|23,1,0,9|24,0,50|0,,,,3,,,3902,3803,
3902,39,2,0,点击关闭英雄兑换,24,0,7,RoleExchangeUIView,,,1,,5101,2,,,,500,,点击<Color=#3aff5c>返回</Color>按钮。,,,RoleExchangeUIView,backBtn,500,,,3903,3901,
3903,39,3,0,点击关闭,24,0,7,RolePanelUIView,,,1,,5101,2,,,,400,,点击<Color=#3aff5c>关闭</Color>按钮。,0|-30,,RolePanelUIView,closeBtn,500,,,3904,3902,
3904,39,4,0,npc帮着英雄自我介绍,1,0,1,,,,1,,5101,5,,1,,,,很好，不用感谢我！抓紧时间，您快点派遣他们出发吧！,,,,,500,,,3905,3903,
3905,39,5,1116,任务领取奖励,3,0,7,GuideUI,,,1,,5101,2,,,,,,,,,GuideUI,Sure,,,,3906,3904,
3906,39,6,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,5101,1,,,,,,,,,,,,,,4001,3905,
4001,40,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,0,9|24,0,,,,,3,,,4002,3906,
4002,40,2,0,点击城市,24,55,7,mainUI,,,,,,2,,,,500,,点击<Color=#3aff5c>城市</Color>按钮！,,,mainUI,城市按钮,500,,,4003,4001,
4003,40,3,,点击冒险栏--默认有一队列,24,55,1,,,,,,,2,,,,500,,点击<Color=#3aff5c>探索</Color>按钮。,,,CityUI,exploreBtn,500,,,4004,4002,
4004,40,4,0,,24,55,7,ExplorePanelUI,,,,,,2,,,,400,,点击<Color=#3aff5c>辐射血液</Color>探索地区！,0|40,,ExplorePanelUI,30001,500,,,4005,4003,
4005,40,5,0,点击探索----,24,55,7,ExplorePrepareUI,,,,,,2,,,,400,,点击<Color=#3aff5c>探索副本</Color>，派遣小队。,,,ExplorePrepareUI,exploreBtn,500,,,4101,4004,
4101,41,1,0,点击探索队列,24,0,7,CityUI,,,1,,6100,2,,,,500,,探索会花上一段时间...<Color=#3aff5c>催促</Color>它会对您有帮助！,,,CityUI,1,500,,,4102,4005,
4102,41,2,0,判定是否需要加速,21,0,1,,,,1,,6100,1,,0,,,,,,,,,,,4201,4103,4101,
4103,41,3,0,点击免费加速,24,55,7,RoleAdventureUI,1,5:50001:1,1,,6100,2,,,,500,,探索会花上一段时间...<Color=#3aff5c>催促</Color>它会对您有帮助！,,,RoleAdventureUI,gemBtn,500,,,4201,4102,
4201,42,1,0,点击英雄升级1,24,55,7,HeroUpgradeComUI,,,1,,6301,2,,,,600,,点击<Color=#3aff5c>继续</Color>按钮。,,,HeroUpgradeComUI,UpgradeContinueBtn,500,,,4202,4103,
4202,42,2,0,点击英雄升级2,24,0,7,HeroUpgradeComUI,,,1,,6301,2,,,,600,,点击<Color=#3aff5c>继续</Color>按钮。,,,HeroUpgradeComUI,UpgradeContinueBtn,500,,,4203,4201,
4203,42,3,0,点击收集,24,0,7,ExploreCompleteUI,1,5:150002:2,1,,6301,2,,,,360,,点击<Color=#3aff5c>收集全部</Color>按钮。,,,ExploreCompleteUI,collectAllBtn,500,,,4301,4202,
4301,43,1,0,打开宝箱任务展示和任务对话,1,0,1,,1,5:60001:1,1,,4901,5,,1,,,,店长！他们真是好运，竟然在探索中意外找到了一个<Color=#3aff5c>宝箱</Color>。|听说里面有遗失的宝藏，但是需要一张<Color=#3aff5c>IC卡</Color>才能打开...|我这里刚好有一张，我们赶紧打开试试吧！,,,,,500,,,4302,4203,
4302,43,2,0,强制点击获得奖励界面确定按键,26,55,1,,,,1,,4901,2,,60001,1,,,点击<Color=#3aff5c>收取</Color>按钮。,,,ReceiveAwardUI,getItemOKButton,500,,,4303,4301,
4303,43,3,1025,强制点击宝箱界面,24,55,7,CityUI,,,1,,4901,2,,,,500,,点击<Color=#3aff5c>宝箱</Color>按钮。,,,CityUI,宝箱按钮,500,,,4304,4302,
4304,43,4,0,打开宝箱前对话,1,0,1,,,,1,,4901,5,,1,,,,这个宝箱真重啊！来，用这张<Color=#3aff5c>IC卡</Color>打开看看能获得什么惊喜吧！,,,,,500,,,4305,4303,
4305,43,5,0,强制点击打开宝箱,24,0,7,OpenTreasureBoxUI,,,1,,4901,2,,,,500,,点击<Color=#3aff5c>IC卡开启</Color>按钮！,,,OpenTreasureBoxUI,useByKeyBtn,500,,,4401,4304,
4401,44,1,0,强制点击收集,24,0,7,TreasureBoxComplete,,,1,,4901,2,,,,500,,点击<Color=#3aff5c>收集</Color>按钮！,,,TreasureBoxComplete,collectBtn,500,,,4402,4305,
4402,44,2,,收取新图纸，已激活点击确定,24,0,7,ReceiveAwardUI,,,1,,4901,2,,,,300,,点击<Color=#3aff5c>继续</Color>按钮。,,,ReceiveAwardUI,activeDrawingOkButton,500,3,,4403,4401,
4403,44,3,0,打开宝箱过后对话介绍宝箱的作用于来源,1,0,1,,,,1,,4901,5,,1,,,,哇！一张<Color=#3aff5c>稀有图纸</Color>，还有<Color=#ff911c>传说</Color>装备！|这些图纸<Color=#3aff5c>超级珍贵</Color>，但只能在宝箱中找到！|不过以后您也能从<Color=#3aff5c>副本BOSS</Color>身上找到IC卡，只要派英雄去探索，就能找到更多宝箱。,,,,,500,,,4404,4402,
4404,44,4,0,强制点击返回城市,24,55,7,OpenTreasureBoxUI,,,1,,4901,2,,,,500,,点击<Color=#3aff5c>城市</Color>按钮。,,,OpenTreasureBoxUI,cityBtn,500,,,4405,4403,
4405,44,5,1026,任务领取奖励,3,0,7,GuideUI,,,1,,4901,2,,,,,,,,,GuideUI,Sure,,,,4406,4404,
4406,44,6,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,4901,1,,,,,,,,,,,,,,4501,4405,
4501,45,1,0,领袖的对话叫你给英雄换装,1,0,1,,,,1,,4901,5,,1,,,,刚与您打开的那个宝箱，真是令人惊叹啊！为何不试着装备刚刚发现的那件<Color=#3aff5c>传奇装备</Color>呢？|店长理应适当的装备他的<Color=#3aff5c>英雄</Color>！,,,,,500,,,4502,4406,
4502,45,2,,点击英雄按钮-前往换装,24,55,7,CityUI,,,1,,4901,2,,,,600,,点击<Color=#3aff5c>英雄</Color>按钮。,,,CityUI,英雄按钮,500,,4409,4503,4501,
4503,45,3,0,点击第一位学者英雄按钮,24,55,7,RolePanelUIView,,,1,,4901,2,,,,500,,点击一名<Color=#3aff5c>英雄</Color>。,,,RolePanelUIView,10101,500,,,4504,4502,
4504,45,4,0,英雄详情点击武器,24,55,7,RoleHeroInfoPanel,,,1,,4901,2,,,,700,,点击<Color=#3aff5c>武器</Color>栏位。,,,RoleHeroInfoPanel,equipItem1,500,,,4505,4503,
4505,45,5,0,换装界面点击砍刀,24,55,7,HeroWearEquipUI,,,1,,4901,2,,,,300,,点击<Color=#3aff5c>砍刀</Color>。,,,HeroWearEquipUI,1015,500,,,4506,4504,
4506,45,6,0,领袖的对话~拜拜,1,0,1,,,,1,,4901,5,,1,,,,简直完美！祝您下次探索还能如此幸运！,,,,,500,,,4507,4505,
4507,45,7,0,点击关闭-详情窗,24,0,7,RoleHeroInfoPanel,,,1,,4901,2,,,,500,,点击<Color=#3aff5c>关闭</Color>按钮。,,,RoleHeroInfoPanel,closeBtn,500,,,4508,4506,
4508,45,8,0,点击关闭-角色窗,24,0,7,RolePanelUIView,,,1,,4901,2,,,,300,,点击<Color=#3aff5c>关闭</Color>按钮。,0|-30,,RolePanelUIView,closeBtn,500,,,4509,4507,
4509,45,9,0,点击回到主界面,24,55,7,CityUI,,,1,,4901,2,,,,700,,点击<Color=#3aff5c>店铺</Color>按钮！,,,CityUI,店铺按钮,500,,,4901,4508,
4901,49,1,0,琳的对话~制作高阶连帽衫,1,0,1,,,,,,,5,,1,,,,您现在拥有所需的<Color=#3aff5c>辐射血液</Color>，我们可以尝试制作那件<Color=#3aff5c>高阶连帽衫</Color>！,,,,,3,,,4902,4509,
4902,49,2,,tips~开始制作探险家,24,55,7,mainUI,,,,,,2,,,,700,,点击<Color=#3aff5c>制作</Color>按钮。,,,mainUI,makeButton,3,,,4903,4901,
4903,49,3,0,tips~点击连衫帽,24,55,7,EquipMakeUI,,,,,,2,,,,400,,点击<Color=#3aff5c>连帽衫</Color>进行制作。,0|-100,,EquipMakeUI,12020,3,,,5001,4902,
5001,50,1,0,对话---收取短衫,1,0,1,,,,1,,5101,5,,0,,,,刚刚的短袖衫也做好了，我们把它收起来吧。,,,,,3,,,5002,4903,
5002,50,2,,tips~收取短衫,24,55,7,mainUI,,,1,,5101,2,,,,700,,点击<Color=#3aff5c>领取</Color>按钮。,0|50,,mainUI,1,3,,,5101,5001,
5101,51,1,0,对话~引导结束语,1,0,1,,,,,,,5,,0,,,,您真的很有商人天赋，在您的经营下，02号壁垒一定能在废土中繁荣昌盛！,,,,,3,,,99999,5002,
99999,100,1,0,最后一步,20,0,1,,1,7:1,,,,1,,,,,,,,,mainUI,,,,,,5101,
6000,60,1,0,强制点击第一制造队列,3,0,7,mainUI,,,,,,2,,,,,,,,,mainUI,1,,,,2703,99999,
4612,46,1,0,强制点击英雄角色栏的关闭按键,3,0,7,RolePanelUIView,,,1,,4801,2,,,,,,,,,RolePanelUIView,closeBtn,,,,4701,4605,
4613,46,2,0,强制点击体力药品的关闭按键,3,0,7,RoleRestingUI,,,1,,4801,2,,,,,,,,,RoleRestingUI,finishButton,,,,4605,,
6100,61,1,0,点击城市-探索前断线,24,55,7,mainUI,,,1,,4801,2,,,,,,点击<Color=#3aff5c>城市</Color>按钮！,,,mainUI,城市按钮,500,,,4101,,
6201,62,1,0,点击英雄-招募第二个英雄断线,24,75,7,mainUI,,,1,,4801,2,,,,,,点击<Color=#3aff5c>英雄</Color>按钮。,,,mainUI,英雄按钮,500,,,6202,,
6202,62,2,0,点击训练厅-招募第二个英雄断线,24,55,7,mainUI,,,1,,4801,2,,,,,,点击<Color=#3aff5c>训练厅</Color>。,0|80,,RolePanelUIView,exchangeHero,500,,,3801,6201,
6301,63,1,0,点击城市-副本里断线,24,55,7,mainUI,,,1,,4801,2,,,,,,点击<Color=#3aff5c>城市</Color>按钮！,,,mainUI,城市按钮,500,,,4301,,
