languages_game,languages_CN,languages_TC,languages_EN
史诗喷火龙大盾,史诗喷火龙大盾,史詩噴火龍大盾,Epic Dragon Shield
传奇喷火龙大盾,传奇喷火龙大盾,傳奇噴火龍大盾,Legendary Dragon Shield
压碎大盾,压碎大盾,壓碎大盾,Crush Shield
优秀压碎大盾,优秀压碎大盾,優秀壓碎大盾,Superior Crush Shield
无暇压碎大盾,无暇压碎大盾,無暇壓碎大盾,Flawless Crush Shield
史诗压碎大盾,史诗压碎大盾,史詩壓碎大盾,Epic Crush Shield
传奇压碎大盾,传奇压碎大盾,傳奇壓碎大盾,Legendary Crush Shield
街头混混的常备武器，大部分人没有勇气挥动它,街头混混的常备武器，大部分人没有勇气挥动它,街頭混混的常備武器，大部分人沒有勇氣揮動它,A common Weapon for gangsters.
佩戴该武器一定要藏在袖子里，这样才能成功击倒敌人,佩戴该武器一定要藏在袖子里，这样才能成功击倒敌人,佩戴該武器一定要藏在袖子裏，這樣才能成功擊倒敵人,Need to hide them in sleeves to defeat enemies
实用的斧子，可以破窗清障，还可以砍人,实用的斧子，可以破窗清障，还可以砍人,實用的斧子，可以破窗清障，還可以砍人,A practical axe
在消防员手里用来救人，但在士兵手里却是武器,在消防员手里用来救人，但在士兵手里却是武器,在消防員手裏用來救人，但在士兵手裏卻是武器,In the hands of firemen it saves lives， but in the hands of soldiers it is a weapon
无论切割什么都会比较方便,无论切割什么都会比较方便,無論切割什麽都會比較方便,Convenient to cut anything you want
钢铁合金的装备，锋利无比,钢铁合金的装备，锋利无比,鋼鐵合金的裝備，鋒利無比,Made of alloy and extremely sharp
看起来很狰狞，锋利的刀刃，削铁如泥,看起来很狰狞，锋利的刀刃，削铁如泥,看起來很猙獰，鋒利的刀刃，削鐵如泥,With sharp edge，it looks ferocious
厚重的刀身，锋利的刀刃，让他变成了敌人的噩梦,厚重的刀身，锋利的刀刃，让他变成了敌人的噩梦,厚重的刀身，鋒利的刀刃，讓他變成了敵人的噩夢,Heavy and sharp;A nightmare for enemies
沉重的长刀，震慑敌人的利器,沉重的长刀，震慑敌人的利器,沈重的長刀，震懾敵人的利器,A heavy and sharp knife to frighten enemies
两边开刃的巨斧，适合左右劈砍,两边开刃的巨斧，适合左右劈砍,兩邊開刃的巨斧，適合左右劈砍,A huge axe with cutting edges on both sides
造型曲线很漂亮的刀，实用性也还不错！,造型曲线很漂亮的刀，实用性也还不错！,造型曲線很漂亮的刀，實用性也還不錯！,A practical knife with beautiful curve
铝合金的斧头，有着与他沉重外形不匹配的重量,铝合金的斧头，有着与他沉重外形不匹配的重量,鋁合金的斧頭，有著與他沈重外形不匹配的重量,Its weight unmatches its heavy appearance
钛合金斧头，满满的科技感的同时也有着满满的威力,钛合金斧头，满满的科技感的同时也有着满满的威力,鈦合金斧頭，滿滿的科技感的同時也有著滿滿的威力,It shows the sense of technology and power
锋利的刀刃是它的外表，残忍无情是它的内心,锋利的刀刃是它的外表，残忍无情是它的内心,鋒利的刀刃是它的外表，殘忍無情是它的內心,Sharp Appearance and cruel heart
坚硬实用且易于加工的武器,坚硬实用且易于加工的武器,堅硬實用且易於加工的武器,Hard，practical and easy-to-process
经过特别加工过后的装备，比普通的木棒更好用,经过特别加工过后的装备，比普通的木棒更好用,經過特別加工過後的裝備，比普通的木棒更好用,Specially processed，better than normal wood sticks
携带方便，晚上还能驱散黑暗,携带方便，晚上还能驱散黑暗,攜帶方便，晚上還能驅散黑暗,Easy to carry;It disperses the darkness at night
据说有喷气装置，可以破坏所有防御，但是应该已经是空瓶子了,据说有喷气装置，可以破坏所有防御，但是应该已经是空瓶子了,據說有噴氣裝置，可以破壞所有防禦，但是應該已經是空瓶子了,It is said it has a jet device that can destroy all defenses，but now it's only an empty bottle
沉重的铁棍，坚固是它的代名词,沉重的铁棍，坚固是它的代名词,沈重的鐵棍，堅固是它的代名詞,Heavy iron bar which is well-known for its solidity
酷炫的铁棍，同时也有巨大的威慑力,酷炫的铁棍，同时也有巨大的威慑力,酷炫的鐵棍，同時也有巨大的威懾力,Cool and intimidating iron bar
沉重的铁锤，碾压敌人,沉重的铁锤，碾压敌人,沈重的鐵錘，碾壓敵人,Heavy hammer which crushes enemies easily
高科技的产物，他能打击敌人也能麻痹敌人,高科技的产物，他能打击敌人也能麻痹敌人,高科技的產物，他能打擊敵人也能麻痹敵人,A high-tech product which strikes and paralyzes the enemy
沉重的重量使它与强壮的英雄更加匹配,沉重的重量使它与强壮的英雄更加匹配,沈重的重量使它與強壯的英雄更加匹配,The heavyweight makes it more compatible with strong heroes
在机械动力的加持下，钉锤能直接击碎敌人的骨头,在机械动力的加持下，钉锤能直接击碎敌人的骨头,在機械動力的加持下，釘錘能直接擊碎敵人的骨頭,With mechanical power，the mace can directly crush the enemy’s bones
镶嵌不知名石头的锤子，真的很重,镶嵌不知名石头的锤子，真的很重,鑲嵌不知名石頭的錘子，真的很重,A heavy hammer inlaid with unknown stones
它是能彰显地位的权杖，也能击碎敌人的头颅,它是能彰显地位的权杖，也能击碎敌人的头颅,它是能彰顯地位的權杖，也能擊碎敵人的頭顱,Not only show your high status but also smash enemies' head
在击中敌人的时候能释放强大的电流，造成更多伤害,在击中敌人的时候能释放强大的电流，造成更多伤害,在擊中敵人的時候能釋放強大的電流，造成更多傷害,When hitting an enemy，it can release a powerful current，causing more damage
夸张的外表，强大的威力，英雄的信仰，敌人的噩梦,夸张的外表，强大的威力，英雄的信仰，敌人的噩梦,誇張的外表，強大的威力，英雄的信仰，敵人的噩夢,Exaggerated appearance，great power，heroes' belief，enemy's nightmare
普普通通的弓箭，威力不大的同时，耐久也不太高,普普通通的弓箭，威力不大的同时，耐久也不太高,普普通通的弓箭，威力不大的同時，耐久也不太高,An ordinary bow with low power and durability
竞技用品，威力大的同时对使用者要求也高,竞技用品，威力大的同时对使用者要求也高,競技用品，威力大的同時對使用者要求也高,Powerful but has high requirement of the user
拥有强劲的穿透力的特殊弓,拥有强劲的穿透力的特殊弓,擁有強勁的穿透力的特殊弓,A Special bow with high penetration
在夜晚使用它，就是敌人的噩梦,在夜晚使用它，就是敌人的噩梦,在夜晚使用它，就是敵人的噩夢,A nightmare to enemies if used at night
传说它可以同时发射多个箭簇，杀伤力十足,传说它可以同时发射多个箭簇，杀伤力十足,傳說它可以同時發射多個箭簇，殺傷力十足,Shoot multiple lethal arrow clusters at the same time
非常不一样的弓，它不能发射箭簇，但是用来砸人很合适,非常不一样的弓，它不能发射箭簇，但是用来砸人很合适,非常不一樣的弓，它不能發射箭簇，但是用來砸人很合適,Not used to shoot arrows but smash enemies
能将炸弹射出去的强弓,能将炸弹射出去的强弓,能將炸彈射出去的強弓,A strong bow that shoots bombs
发射携带电网的弓，一旦中招，很难逃脱,发射携带电网的弓，一旦中招，很难逃脱,發射攜帶電網的弓，一旦中招，很難逃脫,The bow can launch a power grid，if caught，which is hard to escape from
靠热感应追踪敌人的弓箭，敌人逃不掉的噩梦,靠热感应追踪敌人的弓箭，敌人逃不掉的噩梦,靠熱感應追蹤敵人的弓箭，敵人逃不掉的噩夢,Tracking enemies by thermal induction
强大的粒子能量射线，被射中的敌人有死无生,强大的粒子能量射线，被射中的敌人有死无生,強大的粒子能量射線，被射中的敵人有死無生,Its particle energy ray causes lethal damage to the enemy
专业的复合弓，用料讲究，有一些威力,专业的复合弓，用料讲究，有一些威力,專業的復合弓，用料講究，有一些威力,A professional compound bow made of exquisite materials with some power
即使击不中敌人，它落地也会吓你一跳,即使击不中敌人，它落地也会吓你一跳,即使擊不中敵人，它落地也會嚇你一跳,Even if it doesn't hit the enemy， it will startle them when it hits the ground
你猜下一发是否还有子弹，赌一把就能赢！,你猜下一发是否还有子弹，赌一把就能赢！,你猜下一發是否還有子彈，賭一把就能贏！,Guess if there are any bullets in the next round
无论多强大的敌人变成蚂蚁也可以一脚踩死,无论多强大的敌人变成蚂蚁也可以一脚踩死,無論多強大的敵人變成螞蟻也可以一腳踩死,Any powerful enemy can be trampled to death if turned into an ant
曾经还在实验室的试制枪，不像普通的左轮手枪,曾经还在实验室的试制枪，不像普通的左轮手枪,曾經還在實驗室的試製槍，不像普通的左輪手槍,A trial gun from the laboratory
幸运之神眷顾的手枪，你的幸运就是敌人的厄运,幸运之神眷顾的手枪，你的幸运就是敌人的厄运,幸運之神眷顧的手槍，你的幸運就是敵人的厄運,A pistol favored by the God of luck.
在废土上生存必备的收枪，它的威力能吓到所有人,在废土上生存必备的收枪，它的威力能吓到所有人,在廢土上生存必備的收槍，它的威力能嚇到所有人,A necessary gun to survive; It scares everyone
寂静的消音器，杀手的最爱,寂静的消音器，杀手的最爱,寂靜的消音器，殺手的最愛,With excellent silencer; killer's favorite
供军警人员使用的特种手枪,供军警人员使用的特种手枪,供軍警人員使用的特種手槍,Special pistol for military and police personnel
强大暴虐的电浆能扫平一切,强大暴虐的电浆能扫平一切,強大暴虐的電漿能掃平一切,Powerful and tyrannical plasma can wipe everything out
低调的外形，不低调的力量,低调的外形，不低调的力量,低調的外形，不低調的力量,Low-keyed appearance with remarkable power
含有特别凝结剂的子弹，能够迅速冻结敌人,含有特别凝结剂的子弹，能够迅速冻结敌人,含有特別凝結劑的子彈，能夠迅速凍結敵人,Shoot bullets with special coagulant which quickly freeze enemies
强力的近战冲锋枪,强力的近战冲锋枪,強力的近戰沖鋒槍,Powerful melee submachine gun
腐蚀性的子弹，它带给敌人的不仅仅是死亡，而是临近死亡的无尽折磨,腐蚀性的子弹，它带给敌人的不仅仅是死亡，而是临近死亡的无尽折磨,腐蝕性的子彈，它帶給敵人的不僅僅是死亡，而是臨近死亡的無盡折磨,Corrosive bullets torture the enemies before death
射出强大的伽马射线直接将敌人分解,射出强大的伽马射线直接将敌人分解,射出強大的伽馬射線直接將敵人分解,Shoot powerful gamma rays to directly decompose the enemy
一支现代化改装的复古半自动步枪,一支现代化改装的复古半自动步枪,一支現代化改裝的復古半自動步槍,A modern modified retro semi-automatic rifle
性能可靠的近战冲锋枪,性能可靠的近战冲锋枪,性能可靠的近戰沖鋒槍,Reliable close combat submachine gun
狂野得外形，比他外形更狂野的是它的威力,狂野得外形，比他外形更狂野的是它的威力,狂野得外形，比他外形更狂野的是它的威力,Its power is even wilder than its appearance
可靠性很好，射击精度也相当高，后坐力较大的冲锋枪,可靠性很好，射击精度也相当高，后坐力较大的冲锋枪,可靠性很好，射擊精度也相當高，後坐力較大的沖鋒槍,Good reliability，high accuracy and large recoil force
它的名字无人不晓，它的威力无人不知,它的名字无人不晓，它的威力无人不知,它的名字無人不曉，它的威力無人不知,Everyone knows its name and its power
突击步枪，稳定性强，瞄准精度高,突击步枪，稳定性强，瞄准精度高,突擊步槍，穩定性強，瞄準精度高,Assault rifle，with strong stability and high accuracy
强大的威力让敌人胆寒,强大的威力让敌人胆寒,強大的威力讓敵人膽寒,Its formidable power frightens the enemy
便于行动的突击枪，短和轻就是他的优点,便于行动的突击枪，短和轻就是他的优点,便於行動的突擊槍，短和輕就是他的優點,Assault gun with short and light advantages
无托结构的自动步枪，稳定性非常强,无托结构的自动步枪，稳定性非常强,無托結構的自動步槍，穩定性非常強,Automatic rifle of strong stability without bracket structure
当敌人迎面看到它时，敌人就已经死了,当敌人迎面看到它时，敌人就已经死了,當敵人迎面看到它時，敵人就已經死了,When the enemy sees it head-on， the enemy is dead
源于它哒哒哒的射击声，它又被称为芝加哥打字机,源于它哒哒哒的射击声，它又被称为芝加哥打字机,源於它噠噠噠的射擊聲，它又被稱為芝加哥打字機,Due to its clattering sound，it is also called Chicago typewriter
不仅打的快，而且打的准,不仅打的快，而且打的准,不僅打的快，而且打的準,Fast and accurate
能发出强力电流麻痹敌人,能发出强力电流麻痹敌人,能發出強力電流麻痹敵人,Shoot a strong current to paralyze the enemy
能发出强力电磁脉冲，威力强大,能发出强力电磁脉冲，威力强大,能發出強力電磁脈沖，威力強大,Send out powerful electromagnetic pulse with great power
一发击倒近处的任何野兽,一发击倒近处的任何野兽,一發擊倒近處的任何野獸,Knock down any beast nearby with one shot
个性化的外形，是很好的吸引点,个性化的外形，是很好的吸引点,個性化的外形，是很好的吸引點,Personalized appearance is attractive.
拥有强大的威力，对前方范围敌人造成毁灭打击,拥有强大的威力，对前方范围敌人造成毁灭打击,擁有強大的威力，對前方範圍敵人造成毀滅打擊,Deal destructive damage to the enemies in front
射程较短，但威力极大,射程较短，但威力极大,射程較短，但威力極大,Short range，but powerful
因为枪管多，所以命中率非常高,因为枪管多，所以命中率非常高,因為槍管多，所以命中率非常高,As it is multi barrelled，its hit rate is very high
与他的大范围大杀伤性相对应的是它的消耗弹药量过大的缺点,与他的大范围大杀伤性相对应的是它的消耗弹药量过大的缺点,與他的大範圍大殺傷性相對應的是它的消耗彈藥量過大的缺點,Deal lethal damage of wide range but cost much ammo
无与伦比的威力下，极高的命中率，超大的杀伤范围,无与伦比的威力下，极高的命中率，超大的杀伤范围,無與倫比的威力下，極高的命中率，超大的殺傷範圍,Unparalleled power，extremely high hit rate and large range
被击中的敌人要小心，据说会冻结灵魂,被击中的敌人要小心，据说会冻结灵魂,被擊中的敵人要小心，據說會凍結靈魂,It is said that it will freeze the soul，if getting hit.
就像它的名字一样，他射出的子弹能让敌人感受到雷神的怒吼,就像它的名字一样，他射出的子弹能让敌人感受到雷神的怒吼,就像它的名字一樣，他射出的子彈能讓敵人感受到雷神的怒吼,Enemies can feel the roar of Thor from its bullet.
难得的长距离攻击散弹枪，但威力却没有因此减少分毫,难得的长距离攻击散弹枪，但威力却没有因此减少分毫,難得的長距離攻擊散彈槍，但威力卻沒有因此減少分毫,A rare long-range shotgun，and its power is not reduced
一把属于冲锋陷阵者的利器,一把属于冲锋陷阵者的利器,一把屬於沖鋒陷陣者的利器,A sharp weapon belonging to the Stormer
小心别被它射中，更要小心它子弹射中的地方,小心别被它射中，更要小心它子弹射中的地方,小心別被它射中，更要小心它子彈射中的地方,Take care not to be shot and keep away from the area it hits
狂乱的子弹，仿佛在灼烧敌人的灵魂,狂乱的子弹，仿佛在灼烧敌人的灵魂,狂亂的子彈，仿佛在灼燒敵人的靈魂,Frenzied bullets seem to burn the soul of enemies
强力射线散弹枪，令敌人胆寒的噩梦,强力射线散弹枪，令敌人胆寒的噩梦,強力射線散彈槍，令敵人膽寒的噩夢,Powerful ray shotgun，a nightmare for the enemy
射程能够达到1000m的长距离狙击枪,射程能够达到1000m的长距离狙击枪,射程能夠達到1000m的長距離狙擊槍,A sniper gun with a long range of 1000m
动能强，杀伤力大，抗风阻的强力枪械,动能强，杀伤力大，抗风阻的强力枪械,動能強，殺傷力大，抗風阻的強力槍械,Strong kinetic energy，high lethality and wind resistance
极其精密的步枪，枪口焰、噪音和后座力都被减少了很多,极其精密的步枪，枪口焰、噪音和后座力都被减少了很多,極其精密的步槍，槍口焰、噪音和後座力都被減少了很多,Sophisticated rifle with much reduced muzzle flame，noise and recoil.
高射击精度，又能够在恶劣的环境条件下能够工作的可靠枪械,高射击精度，又能够在恶劣的环境条件下能够工作的可靠枪械,高射擊精度，又能夠在惡劣的環境條件下能夠工作的可靠槍械,Reliable firearms with high accuracy and working under harsh conditions
是特意为动物协会突击部队设计的反器材远程狙击步枪,是特意为动物协会突击部队设计的反器材远程狙击步枪,是特意為動物協會突擊部隊設計的反器材遠程狙擊步槍,Anti-material long-range sniper rifle designed for animal association assault force
它的的威力能与Kar98k毛瑟步枪相媲美，子弹的飞行速度比98K还快,它的的威力能与Kar98k毛瑟步枪相媲美，子弹的飞行速度比98K还快,它的的威力能與Kar98k毛瑟步槍相媲美，子彈的飛行速度比98K還快,With comparable power to Kar98k Mauser rifle but its bullet fly faster.
自动化很高的狙击枪，适合用作军用或警用狙击步枪,自动化很高的狙击枪，适合用作军用或警用狙击步枪,自動化很高的狙擊槍，適合用作軍用或警用狙擊步槍,Highly automated sniper rifle，suitable for military or police
被它射中后，死亡可能是最不痛苦的选择,被它射中后，死亡可能是最不痛苦的选择,被它射中後，死亡可能是最不痛苦的選擇,If shot by it，death may be the least painful option
因威力过大和隐蔽性太强而遭到严格管控的枪械,因威力过大和隐蔽性太强而遭到严格管控的枪械,因威力過大和隱蔽性太強而遭到嚴格管控的槍械,Strictly regulated firearms for being too powerful and too concealed
就如同它的名字一样，超远的距离，超大的威力，他唯一的弱点就是它脆弱的主人,就如同它的名字一样，超远的距离，超大的威力，他唯一的弱点就是它脆弱的主人,就如同它的名字一樣，超遠的距離，超大的威力，他唯一的弱點就是它脆弱的主人,Long ranged with super power; Its only weakness is its fragile master
很简单的武器，不过设计精度很差,很简单的武器，不过设计精度很差,很簡單的武器，不過設計精度很差,Very simple weapon，but its design precision is low
经济实用的高伤害武器,经济实用的高伤害武器,經濟實用的高傷害武器,Economical and practical high-damage weapon
向敌人发起冲锋时，它就是你最可靠的火力支援,向敌人发起冲锋时，它就是你最可靠的火力支援,向敵人發起沖鋒時，它就是你最可靠的火力支援,It is your most reliable fire support when charging the enemy
威力强大的冲锋枪,威力强大的冲锋枪,威力強大的沖鋒槍,Powerful submachine gun
战场上小型的支援武器，能轻松打掉敌人的火力点,战场上小型的支援武器，能轻松打掉敌人的火力点,戰場上小型的支援武器，能輕松打掉敵人的火力點,Mini support weapons that easily crash enemies' firepower
它的威力和它的外形一样令人惊讶，因为发射的只是大号子弹,它的威力和它的外形一样令人惊讶，因为发射的只是大号子弹,它的威力和它的外形一樣令人驚訝，因為發射的只是大號子彈,Firing only large bullets; Its power is as surprising as its appearance.
便携式榴弹发射器，开火后就只能听到爆炸声,便携式榴弹发射器，开火后就只能听到爆炸声,便攜式榴彈發射器，開火後就只能聽到爆炸聲,Portable grenade launcher; only the explosion sound can be heard after firing
主要用于近距离打击坦克、装甲车辆和摧毁工事,主要用于近距离打击坦克、装甲车辆和摧毁工事,主要用於近距離打擊坦克、裝甲車輛和摧毀工事,Mainly used to strike tanks，armored vehicles and fortifications at close range
冒蓝火，哒哒哒的生命收割者,冒蓝火，哒哒哒的生命收割者,冒藍火，噠噠噠的生命收割者,Blowing blue fire; the reaper of life
暴虐的威力能让敌人感受到神灵的怒火,暴虐的威力能让敌人感受到神灵的怒火,暴虐的威力能讓敵人感受到神靈的怒火,Enemies feel the wrath of the gods from its power
强大的射速射出穿透一切的小威力炮弹，没有生物可以挡住,强大的射速射出穿透一切的小威力炮弹，没有生物可以挡住,強大的射速射出穿透一切的小威力炮彈，沒有生物可以擋住,Fire small unstoppable cannonballs that penetrate everything
它的敌人们给它起了一个外号，叫做火龙,它的敌人们给它起了一个外号，叫做火龙,它的敵人們給它起了一個外號，叫做火龍,It has a nickname as Fire Dragon
他肆虐的地方，不仅仅是短暂的堙灭还有长达百年的辐射,他肆虐的地方，不仅仅是短暂的堙灭还有长达百年的辐射,他肆虐的地方，不僅僅是短暫的堙滅還有長達百年的輻射,The attacked area will not only suffer a short period of extinction but hundred years of radiation
牛仔必备的套装，洒脱帅气,牛仔必备的套装，洒脱帅气,牛仔必備的套裝，灑脫帥氣,A must-have suit for cowboys，Looks handsome.
防雨防御，耐脏易洗的衣物,防雨防御，耐脏易洗的衣物,防雨防禦，耐臟易洗的衣物,Rainproof，dirt-resistant and easy-to-wash
重量和防御力难以成正比，可以震慑敌人,重量和防御力难以成正比，可以震慑敌人,重量和防禦力難以成正比，可以震懾敵人,Light weight but high defense. It frightens enemies.
全身铠甲拥有很强的防御力,全身铠甲拥有很强的防御力,全身鎧甲擁有很強的防禦力,Full body armor has strong defense
融合了皮革与钢铁有较好的抗性,融合了皮革与钢铁有较好的抗性,融合了皮革與鋼鐵有較好的抗性,Made of leather and steel to have better resistance
特种部队专供，轻便高效的战甲,特种部队专供，轻便高效的战甲,特種部隊專供，輕便高效的戰甲,Light and efficient armor for special forces
拥有岩石般守护力量的外套，面对它，敌人会感到绝望,拥有岩石般守护力量的外套，面对它，敌人会感到绝望,擁有巖石般守護力量的外套，面對它，敵人會感到絕望,A jacket with high defense as the stone
轻薄的外形不会影响它的防御力，反而更适合战场隐蔽偷袭,轻薄的外形不会影响它的防御力，反而更适合战场隐蔽偷袭,輕薄的外形不會影響它的防禦力，反而更適合戰場隱蔽偷襲,The light and thin appearance will not affect its defense. More suitable for sneak raid
多功能战甲，能给拥有者提供不俗的防护力和支持,多功能战甲，能给拥有者提供不俗的防护力和支持,多功能戰甲，能給擁有者提供不俗的防護力和支持,Multifunctional armor with decent protection and support
如它的名字一样，轻便整洁的外表下是可靠的防御力,如它的名字一样，轻便整洁的外表下是可靠的防御力,如它的名字一樣，輕便整潔的外表下是可靠的防禦力,It is a reliable defense under its light and tidy appearance
强大的防护力和隐蔽能力，令敌人胆寒,强大的防护力和隐蔽能力，令敌人胆寒,強大的防護力和隱蔽能力，令敵人膽寒,Enemies are frightened by its high defense and concealment
穿上似乎就能增加医术,穿上似乎就能增加医术,穿上似乎就能增加醫術,It seems to increase medical skills by wearing it
不错的衣物，穿上去能让人感觉舒适,不错的衣物，穿上去能让人感觉舒适,不錯的衣物，穿上去能讓人感覺舒適,Nice comfortable clothing.
护甲不错的防具,护甲不错的防具,護甲不錯的防具,Good armor
厚重敦实的防御力似乎能抵挡一切伤害,厚重敦实的防御力似乎能抵挡一切伤害,厚重敦實的防禦力似乎能抵擋一切傷害,Thick and solid; It seems to be able to resist all damage
这是背叛了队友之人留下来的战甲，上面仿佛还残留着不甘心的亡魂,这是背叛了队友之人留下来的战甲，上面仿佛还残留着不甘心的亡魂,這是背叛了隊友之人留下來的戰甲，上面仿佛還殘留著不甘心的亡魂,Left by traitors. It seems still have reconciled souls on it
帝国制式战甲,帝国制式战甲,帝國製式戰甲,Empire Style Battlegear
钢铁制造的强力战甲,钢铁制造的强力战甲,鋼鐵製造的強力戰甲,Powerful armor made of steel
帅气的盔甲，穿上它后仿佛能增强勇气,帅气的盔甲，穿上它后仿佛能增强勇气,帥氣的盔甲，穿上它後仿佛能增強勇氣,Handsome armor that seems to boost courage
轻便的样式不会影响战士在复杂地形中的发挥,轻便的样式不会影响战士在复杂地形中的发挥,輕便的樣式不會影響戰士在復雜地形中的發揮,With light weight， it will not affect fighters' performance in complex terrain
有些斑驳的战甲，通过它仿佛能感受到古代骑士的美德,有些斑驳的战甲，通过它仿佛能感受到古代骑士的美德,有些斑駁的戰甲，通過它仿佛能感受到古代騎士的美德,A bit mottled armor;You can feel the virtues of ancient knights
最高科技，超高的防御力且拥有极快的速度,最高科技，超高的防御力且拥有极快的速度,最高科技，超高的防禦力且擁有極快的速度,Of highest technology，ultra-high defense and extremely fast speed
高科技的动力战甲，提供不俗的防护还能提供动力支持,高科技的动力战甲，提供不俗的防护还能提供动力支持,高科技的動力戰甲，提供不俗的防護還能提供動力支持,High-tech power armor，with good defense and power support
有些火焰似的斑纹，光鲜美丽的同时还有些强大的防御,有些火焰似的斑纹，光鲜美丽的同时还有些强大的防御,有些火焰似的斑紋，光鮮美麗的同時還有些強大的防禦,With flame-like markings，it is bright，beautiful and of high defenses
至臻至上，无与伦比的防护力,至臻至上，无与伦比的防护力,至臻至上，無與倫比的防護力,The ultimate， unparalleled protection
人手一件，夏天必备,人手一件，夏天必备,人手一件，夏天必備,Summer essentials
又叫套头衫，穿上去很有时尚范,又叫套头衫，穿上去很有时尚范,又叫套頭衫，穿上去很有時尚範,Also called as Pullover. Looks very fashionable
帅气的战甲，防御力也还不错,帅气的战甲，防御力也还不错,帥氣的戰甲，防禦力也還不錯,Handsome armor with good defense
医生护士套装，似乎能增加医术,医生护士套装，似乎能增加医术,醫生護士套裝，似乎能增加醫術,Doctor and nurse suit that seems to increase medical skills
外表看起来防御不太好，但是韧性很足哦,外表看起来防御不太好，但是韧性很足哦,外表看起來防禦不太好，但是韌性很足哦,Though its defense is not so good，its toughness is strong.
又名凯夫拉防弹衣，是用有机纤维制造而成的,又名凯夫拉防弹衣，是用有机纤维制造而成的,又名凱夫拉防彈衣，是用有機纖維製造而成的,Made of organic fiber，it is also known as Kevlar body armor，
怎么也擦不干净的战甲，穿上它会感到别样的寒冷,怎么也擦不干净的战甲，穿上它会感到别样的寒冷,怎麽也擦不幹凈的戰甲，穿上它會感到別樣的寒冷,Never get cleaned; Have strange cold feeling when wearing it
有莲花纹路的黑色战甲，强大的防御中透着一丝丝神秘气息,有莲花纹路的黑色战甲，强大的防御中透着一丝丝神秘气息,有蓮花紋路的黑色戰甲，強大的防禦中透著一絲絲神秘氣息,Black armor with lotus pattern
紧身轻便，据说它上面还留有传奇赛车手的气息,紧身轻便，据说它上面还留有传奇赛车手的气息,緊身輕便，據說它上面還留有傳奇賽車手的氣息,Tight and lightweight，with remaining breath of a legendary racer
略显夸张的造型下，涵盖着灵魂舞者不平凡的一生,略显夸张的造型下，涵盖着灵魂舞者不平凡的一生,略顯誇張的造型下，涵蓋著靈魂舞者不平凡的一生,Under slightly exaggerated appearance，it reveals the extraordinary life of a soul dancer
特工套装，将不起眼和逼格这两个冲突的特质包含在了一起,特工套装，将不起眼和逼格这两个冲突的特质包含在了一起,特工套裝，將不起眼和逼格這兩個沖突的特質包含在了一起,Special agent suit with conflicting features of inconspicuous and compelling.
有棱角的衣物，亦如它主人的内心,有棱角的衣物，亦如它主人的内心,有棱角的衣物，亦如它主人的內心,Angular clothing，just like its owner’s heart
在防御进攻的同时也能防尘防沙，,在防御进攻的同时也能防尘防沙，,在防禦進攻的同時也能防塵防沙，,Prevents dust & sand while defending against attacks
一般的弹药也很难击穿,一般的弹药也很难击穿,一般的彈藥也很難擊穿,Can not penetrated by nomral ammoes
带有尖刺的头盔，必要时可以用头撞击敌人,带有尖刺的头盔，必要时可以用头撞击敌人,帶有尖刺的頭盔，必要時可以用頭撞擊敵人,Spiked helmet. Hit enemies with your head if necessary
在爆炸中能保护你的脑袋免受重创,在爆炸中能保护你的脑袋免受重创,在爆炸中能保護你的腦袋免受重創,Protects your head from heavy damage in an explosion
行动感很强的头盔，戴上它似乎能提高人的行动力,行动感很强的头盔，戴上它似乎能提高人的行动力,行動感很強的頭盔，戴上它似乎能提高人的行動力,It seems to improve mobility
厚重的头盔能够减少爆炸带来的伤害,厚重的头盔能够减少爆炸带来的伤害,厚重的頭盔能夠減少爆炸帶來的傷害,Heavy helmet can reduce the damage caused by explosion
最终武士的头盔，帅气的同时也会提供强力保护,最终武士的头盔，帅气的同时也会提供强力保护,最終武士的頭盔，帥氣的同時也會提供強力保護,The helmet of the ultimate samurai.  Handsome with high defense
有些斑驳的头盔，据说上面携带着远古骑士的美德,有些斑驳的头盔，据说上面携带着远古骑士的美德,有些斑駁的頭盔，據說上面攜帶著遠古騎士的美德,A helmet that carry the virtues of an ancient knight
帝国制式头盔,帝国制式头盔,帝國製式頭盔,Empire style helmet
厚重的外表下，是机器动力的结晶，能够提供不俗的动力支持,厚重的外表下，是机器动力的结晶，能够提供不俗的动力支持,厚重的外表下，是機器動力的結晶，能夠提供不俗的動力支持,With heavyweight，the machine provides remarkable power support
橄榄球手专用，能够保护脑袋受到伤害,橄榄球手专用，能够保护脑袋受到伤害,橄欖球手專用，能夠保護腦袋受到傷害,For rugby players，it can protect your head from injury
洁白无瑕的头盔，似乎上面有天马的灵魂,洁白无瑕的头盔，似乎上面有天马的灵魂,潔白無瑕的頭盔，似乎上面有天馬的靈魂,White and flawless helmet that seems to have the soul of Pegasus on it
一顶拥有智慧的帽子,一顶拥有智慧的帽子,一頂擁有智慧的帽子,A hat with wisdom
看起来你可以呼叫小弟，其实没啥用,看起来你可以呼叫小弟，其实没啥用,看起來你可以呼叫小弟，其實沒啥用,It seems you can call for support，but it's useless
简约朴素的面具，不过可以稍微透气防火,简约朴素的面具，不过可以稍微透气防火,簡約樸素的面具，不過可以稍微透氣防火,Simple mask，but a bit breathable and fireproof
